날짜,호선,역명,구분,아침 합계,낮 합계,저녁 합계
2020-06-29,7호선,뚝섬유원지,하차,1261,2147,3730
2020-06-30,7호선,뚝섬유원지,승차,3101,1901,1873
2020-06-30,7호선,뚝섬유원지,하차,1126,1883,3695
2020-07-01,7호선,뚝섬유원지,승차,3224,2081,3535
2020-07-01,7호선,뚝섬유원지,하차,1242,2379,5092
2020-07-02,7호선,뚝섬유원지,승차,3230,2156,4043
2020-07-02,7호선,뚝섬유원지,하차,1208,2626,5394
2020-07-03,7호선,뚝섬유원지,승차,3181,2094,5299
2020-07-03,7호선,뚝섬유원지,하차,1200,2847,6206
2020-07-04,7호선,뚝섬유원지,승차,1315,2731,6980
2020-07-04,7호선,뚝섬유원지,하차,712,4593,5914
2020-07-05,7호선,뚝섬유원지,승차,858,2219,5299
2020-07-05,7호선,뚝섬유원지,하차,498,3774,3838
2020-07-06,7호선,뚝섬유원지,승차,3230,1957,3887
2020-07-06,7호선,뚝섬유원지,하차,1204,2615,5350
2020-07-07,7호선,뚝섬유원지,승차,3274,1967,3724
2020-07-07,7호선,뚝섬유원지,하차,1178,2429,5206
2020-07-08,7호선,뚝섬유원지,승차,3229,2075,4030
2020-07-08,7호선,뚝섬유원지,하차,1204,2639,5478
2020-07-09,7호선,뚝섬유원지,승차,3213,2083,4086
2020-07-09,7호선,뚝섬유원지,하차,1199,2477,5635
2020-07-10,7호선,뚝섬유원지,승차,3129,1891,3611
2020-07-10,7호선,뚝섬유원지,하차,1133,2060,5205
2020-07-11,7호선,뚝섬유원지,승차,1326,2605,6364
2020-07-11,7호선,뚝섬유원지,하차,719,3884,5518
2020-07-12,7호선,뚝섬유원지,승차,288,2138,2032
2020-07-12,7호선,뚝섬유원지,하차,174,2711,1654
2020-07-13,7호선,뚝섬유원지,승차,3163,1668,1413
2020-07-13,7호선,뚝섬유원지,하차,1132,1571,3441
2020-07-14,7호선,뚝섬유원지,승차,3155,1997,2858
2020-07-14,7호선,뚝섬유원지,하차,1162,2088,4464
2020-07-15,7호선,뚝섬유원지,승차,3234,2142,5017
2020-07-15,7호선,뚝섬유원지,하차,1212,2810,6283
2020-07-16,7호선,뚝섬유원지,승차,3251,2054,4514
2020-07-16,7호선,뚝섬유원지,하차,1156,2867,5676
2020-07-17,7호선,뚝섬유원지,승차,3144,2082,3984
2020-07-17,7호선,뚝섬유원지,하차,1214,2455,5632
2020-07-18,7호선,뚝섬유원지,승차,1252,2644,6266
2020-07-18,7호선,뚝섬유원지,하차,738,4150,5434
2020-07-19,7호선,뚝섬유원지,승차,663,1549,1720
2020-07-19,7호선,뚝섬유원지,하차,299,1614,1764
2020-07-20,7호선,뚝섬유원지,승차,3154,1840,2316
2020-07-20,7호선,뚝섬유원지,하차,1111,1935,4115
2020-07-21,7호선,뚝섬유원지,승차,3320,2039,3811
2020-07-21,7호선,뚝섬유원지,하차,1184,2566,5396
2020-07-22,7호선,뚝섬유원지,승차,3256,1942,2096
2020-07-22,7호선,뚝섬유원지,하차,1147,1975,3835
2020-07-23,7호선,뚝섬유원지,승차,3181,1802,1421
2020-07-23,7호선,뚝섬유원지,하차,1085,1819,3372
2020-07-24,7호선,뚝섬유원지,승차,3080,1954,2567
2020-07-24,7호선,뚝섬유원지,하차,1108,2115,4298
2020-07-25,7호선,뚝섬유원지,승차,1249,2688,5499
2020-07-25,7호선,뚝섬유원지,하차,636,3908,4582
2020-07-26,7호선,뚝섬유원지,승차,900,2388,4115
2020-07-26,7호선,뚝섬유원지,하차,462,3071,3245
2020-07-27,7호선,뚝섬유원지,승차,3114,1835,1805
2020-07-27,7호선,뚝섬유원지,하차,1105,1866,3669
2020-07-28,7호선,뚝섬유원지,승차,3058,2026,2008
2020-07-28,7호선,뚝섬유원지,하차,1123,1991,3827
2020-07-29,7호선,뚝섬유원지,승차,3029,1794,1684
2020-07-29,7호선,뚝섬유원지,하차,1031,1747,3388
2020-07-30,7호선,뚝섬유원지,승차,2937,2026,3372
2020-07-30,7호선,뚝섬유원지,하차,1038,2186,4711
2020-07-31,7호선,뚝섬유원지,승차,2967,2193,3993
2020-07-31,7호선,뚝섬유원지,하차,1056,2680,4904
2020-08-01,7호선,뚝섬유원지,승차,1082,1939,1734
2020-08-01,7호선,뚝섬유원지,하차,522,1884,1926
2020-08-02,7호선,뚝섬유원지,승차,660,1547,823
2020-08-02,7호선,뚝섬유원지,하차,348,1380,1295
2020-08-03,7호선,뚝섬유원지,승차,2903,1847,1281
2020-08-03,7호선,뚝섬유원지,하차,995,1881,3175
2020-08-04,7호선,뚝섬유원지,승차,2921,2017,1466
2020-08-04,7호선,뚝섬유원지,하차,1017,1922,3261
2020-08-05,7호선,뚝섬유원지,승차,2943,1822,1381
2020-08-05,7호선,뚝섬유원지,하차,1018,1741,3258
2020-08-06,7호선,뚝섬유원지,승차,3012,2117,1693
