주차장명,주차대수,이용시간,code,월,일,휴일여부,평균기온(°C),일반이용자(아침),일반이용자(낮),일반이용자(저녁),비
잠실4주차장,1409,1.419742133901112,11,11,10,1,14.4,6577.571428571428,30023.551020408162,24601.61224489796,0
이촌3주차장,1727,1.540494113105578,4,11,10,1,14.4,12426.363636363636,65846.24242424243,30452.757575757576,0
여의도3주차장,2326,2.2832401834336484,8,11,10,1,14.4,4180.727272727273,58907.51515151515,57783.333333333336,0
잠원1주차장,647,1.0693972179289026,10,11,10,1,14.4,15673.265306122448,28164.30612244898,45400.42857142857,0
"난지1,2,3주차장",2253,1.4144991862701584,2,11,10,1,14.4,13746.818181818182,59502.181818181816,46272.93939393939,0
광나루3주차장,1029,1.5885811467444122,6,11,10,1,14.4,4046.108108108108,44370.51351351351,31266.35135135135,0
이촌3주차장,1387,1.3978250420571978,4,11,9,1,12.9,12426.363636363636,65846.24242424243,30452.757575757576,0
이촌1주차장,279,0.6352449223416965,4,11,9,1,12.9,12426.363636363636,65846.24242424243,30452.757575757576,0
뚝섬2주차장,850,1.802156862745098,5,11,9,1,12.9,5489.393939393939,39916.454545454544,56486.666666666664,0
망원1주차장,472,1.5985522598870057,3,11,9,1,12.9,31181.81818181818,188474.84848484848,197723.48484848486,0
잠원1주차장,561,2.081491384432561,10,11,9,1,12.9,15673.265306122448,28164.30612244898,45400.42857142857,0
양화1주차장,354,1.4606403013182676,7,11,9,1,12.9,7097.878787878788,43567.121212121216,54711.30303030303,0
잠실1주차장,1288,0.7644151138716356,11,11,9,1,12.9,6577.571428571428,30023.551020408162,24601.61224489796,0
여의도3주차장,1209,1.684325889164599,8,11,9,1,12.9,4180.727272727273,58907.51515151515,57783.333333333336,0
양화2주차장,83,1.809839357429719,7,11,9,1,12.9,7097.878787878788,43567.121212121216,54711.30303030303,0
잠실4주차장,1551,1.466344294003869,11,11,9,1,12.9,6577.571428571428,30023.551020408162,24601.61224489796,0
"난지1,2,3주차장",2104,1.4180608365019012,2,11,9,1,12.9,13746.818181818182,59502.181818181816,46272.93939393939,0
"반포2,3주차장",3783,1.458445678033307,9,11,9,1,12.9,6521.272727272727,30663.363636363636,29598.060606060608,0
뚝섬4주차장,856,1.7907320872274142,5,11,9,1,12.9,5489.393939393939,39916.454545454544,56486.666666666664,0
이촌2주차장,312,1.8293269230769231,4,11,9,1,12.9,12426.363636363636,65846.24242424243,30452.757575757576,0
광나루4주차장,86,1.8936046511627904,6,11,9,1,12.9,4046.108108108108,44370.51351351351,31266.35135135135,0
양화3주차장,1134,1.6061434450323335,7,11,9,1,12.9,7097.878787878788,43567.121212121216,54711.30303030303,0
반포1주차장,1170,0.994985754985755,9,11,9,1,12.9,6521.272727272727,30663.363636363636,29598.060606060608,0
광나루3주차장,715,1.3976456876456878,6,11,9,1,12.9,4046.108108108108,44370.51351351351,31266.35135135135,0
잠원2-6주차장,2187,1.7716582837982016,10,11,9,1,12.9,15673.265306122448,28164.30612244898,45400.42857142857,0
뚝섬1주차장,300,1.3473888888888887,5,11,9,1,12.9,5489.393939393939,39916.454545454544,56486.666666666664,0
"망원2,3주차장",1526,1.42479248580166,3,11,9,1,12.9,31181.81818181818,188474.84848484848,197723.48484848486,0
여의도2주차장,1648,1.151709142394822,8,11,9,1,12.9,4180.727272727273,58907.51515151515,57783.333333333336,0
여의도5주차장,210,2.166190476190476,8,11,9,1,12.9,4180.727272727273,58907.51515151515,57783.333333333336,0
뚝섬3주차장,649,1.664894709809964,5,11,9,1,12.9,5489.393939393939,39916.454545454544,56486.666666666664,0
강서1주차장,294,1.3537414965986394,1,11,9,1,12.9,10556.060606060606,46010.606060606064,29326.363636363636,0
여의도4주차장,48,1.2326388888888888,8,11,9,1,12.9,4180.727272727273,58907.51515151515,57783.333333333336,0
여의도1주차장,3229,1.6766233095901724,8,11,9,1,12.9,4180.727272727273,58907.51515151515,57783.333333333336,0
"광나루1,2주차장",819,1.7724867724867726,6,11,9,1,12.9,4046.108108108108,44370.51351351351,31266.35135135135,0
